title,description,url,image
Todo App,A distraction-free web app to help you focus on creating and completing tasks.,https://github.com/jeffreycrum/todo-app-web,1.png
Portfolio Website,A website built entirely in Python to showcase coding projects and apps.,https://github.com/jeffreycrum/web-portfolio,2.png
PDF Templates,A script that generates PDF templates of multiple pages given some predefined guidelines.,https://github.com/jeffreycrum/pdf-maker,3.png
PDF Invoices,A script that reads invoice records from Excel files and automatically generates PDF invoices.,https://github.com/jeffreycrum/excel-to-pdf,4.png
Positive News Site,A website that gets data from a news API and uses sentiment analysis to publish only positive news.,https://github.com/jeffreycrum/news-api-email,5.png
Weather API,A REST API built with Python and Flask to serve historical weather data for various cities.,https://github.com/jeffreycrum/weather-api,6.png
Tour Scraper,A program that checks a music band's website and sends an email when there are new tours.,https://github.com/jeffreycrum/web-scraping-music,8.png
NASA APOD,"Makes a request to the NASA Astronomy Picture of the Day, downloads and displays it on another webpage.",https://github.com/jeffreycrum/apod,9.png
Webcam Motion Detector,A program that monitors the computer webcam and sends an email when a new object enters the view.,https://github.com/jeffreycrum/webcam-monitor,11.png
Web Automation Selenium,Uses chromedriver and selenium to run automated tests on a sample webpage.,https://github.com/jeffreycrum/web-automation-selenium,13.png
Analyzing Text,"Analyzes text to monitor the tone of a diary entry, graphs the entries as positive or negative.",https://github.com/jeffreycrum/diary-tone,14.png
Visualizing Weather Forecast,A data web app that visualizes the weather forecast for the next five days of any city.,https://github.com/jeffreycrum/weather-forecast,16.png
Student Management System,A desktop PyQt6 GUI app for managing university student data with an SQL database backend.,https://github.com/jeffreycrum/student-management-system,17.png
Movie Recommendation System,Deepnote notebooks for different recommendations for a Netflix-like movie app.,https://github.com/jeffreycrum/movie-recommendation-system-deepnote,18.png
Restaurant Menu Web App,A Django web app to let customers see a restaurant menu and meal availability.,https://github.com/jeffreycrum/food-order-django,19.png
